,Frame,x1,y1,x2,y2,Confidence,Vehicle
0,62,1073.2,523.5,1280.0,720.0,0.3,Bus
1,63,1073.2,523.8,1280.0,716.1,0.4,Bus
2,64,1073.5,524.2,1280.0,716.6,0.5,Bus
3,65,1074.9,523.7,1280.0,716.5,0.5,Bus
4,66,1074.0,523.8,1280.0,715.8,0.6,Bus
5,67,1073.5,524.2,1280.0,718.2,0.5,Bus
6,68,1074.9,525.6,1280.0,720.0,0.5,Bus
7,69,1072.1,527.1,1280.0,720.0,0.6,Bus
8,70,1070.4,527.2,1280.0,719.1,0.6,Bus
9,71,1068.3,529.7,1279.7,720.0,0.6,Bus
10,72,1066.1,529.1,1279.4,720.0,0.6,Bus
11,73,1066.3,528.4,1279.4,720.0,0.6,Bus
12,74,1065.7,528.3,1279.5,720.0,0.6,Bus
13,75,1068.5,528.2,1279.6,719.5,0.7,Bus
14,76,1066.8,528.7,1279.4,719.8,0.7,Bus
15,77,1066.2,528.1,1279.4,719.7,0.7,Bus
16,78,1062.9,528.7,1279.3,720.0,0.6,Bus
17,79,1063.2,528.2,1279.4,720.0,0.6,Bus
18,80,1064.9,530.3,1279.9,720.0,0.6,Bus
19,81,1076.8,526.9,1280.0,720.0,0.3,Bus
20,85,1075.8,528.3,1280.0,719.9,0.3,Bus
21,237,76.0,653.8,191.9,719.6,0.3,Car
22,238,78.0,652.8,200.9,719.2,0.6,Car
23,239,72.2,646.4,201.2,718.4,0.7,Car
24,240,65.1,641.0,202.5,718.3,0.7,Car
25,241,38.7,636.3,202.6,719.9,0.8,Car
26,242,40.7,633.6,197.7,719.9,0.9,Car
27,243,41.9,630.3,192.7,719.8,0.9,Car
28,244,38.8,626.5,190.6,719.6,0.9,Car
29,245,36.4,623.2,185.0,719.3,0.9,Car
30,246,31.8,620.4,186.8,719.3,0.9,Car
31,247,22.6,617.1,195.4,718.8,0.9,Car
32,248,12.0,609.1,193.0,718.4,0.9,Car
33,249,9.7,605.6,189.5,718.3,1.0,Car
34,250,5.1,602.1,187.2,718.0,1.0,Car
35,251,4.0,595.9,183.8,719.1,1.0,Car
36,252,1.1,588.2,177.9,719.9,1.0,Car
37,253,2.3,586.8,173.1,719.6,1.0,Car
38,254,1.8,584.9,168.0,718.6,1.0,Car
39,255,2.4,580.0,167.4,719.1,1.0,Car
40,256,0.1,575.5,167.9,719.7,1.0,Car
41,257,0.0,572.0,165.0,720.0,1.0,Car
42,258,0.0,568.9,161.4,720.0,1.0,Car
43,259,0.0,563.0,158.2,720.0,1.0,Car
44,260,0.0,559.2,153.5,720.0,1.0,Car
45,261,0.0,555.2,148.3,720.0,1.0,Car
46,262,0.0,550.8,145.3,719.5,1.0,Car
47,263,0.0,542.3,141.4,719.5,1.0,Car
48,264,0.0,537.4,139.5,720.0,1.0,Car
49,265,0.0,535.8,137.2,720.0,1.0,Car
50,266,0.0,530.1,131.7,720.0,0.9,Car
51,267,0.0,525.9,126.6,720.0,0.9,Car
52,268,0.3,521.8,120.3,720.0,1.0,Car
53,269,0.9,515.6,116.7,720.0,1.0,Car
54,270,1.1,509.7,113.1,717.3,1.0,Car
55,271,1.3,505.8,108.3,712.2,1.0,Car
56,272,0.0,504.9,105.7,707.4,0.9,Car
57,273,0.8,501.6,102.6,705.2,0.9,Car
58,274,1.0,501.2,98.6,699.3,0.9,Car
59,275,1.3,495.2,94.6,694.5,0.9,Car
60,276,1.4,485.5,90.3,691.0,0.9,Car
61,277,0.3,489.7,87.1,683.2,0.9,Car
62,278,0.0,486.0,84.4,674.0,1.0,Car
63,279,0.2,485.0,82.0,673.3,1.0,Car
64,280,0.4,478.9,78.6,673.2,1.0,Car
65,281,0.5,475.5,74.9,669.4,1.0,Car
66,282,0.7,466.5,71.0,660.2,1.0,Car
67,283,1.1,461.5,68.8,660.4,1.0,Car
68,284,1.4,460.6,66.2,655.2,0.9,Car
69,285,1.2,456.5,64.4,645.0,0.9,Car
70,286,0.9,461.5,60.5,638.3,0.9,Car
71,287,0.7,461.1,58.2,635.9,1.0,Car
72,288,0.5,459.5,55.5,631.8,1.0,Car
73,289,0.4,457.2,52.7,626.9,1.0,Car
74,290,0.3,456.4,50.5,623.3,1.0,Car
75,291,0.4,452.4,48.2,619.8,1.0,Car
76,292,0.4,451.7,46.2,614.6,1.0,Car
77,293,0.4,452.1,42.9,608.1,1.0,Car
78,294,0.3,450.9,40.3,602.4,1.0,Car
79,295,0.4,447.6,38.8,600.6,0.9,Car
80,296,0.2,439.1,37.0,596.6,0.8,Car
81,297,0.2,438.2,35.1,594.9,0.8,Car
82,298,0.2,432.9,33.3,591.8,0.8,Car
83,299,0.0,414.0,30.3,583.5,0.5,Car
84,300,0.0,391.8,26.9,575.9,0.5,Car
85,301,0.0,394.1,25.0,571.5,0.8,Car
86,302,0.0,396.6,24.4,566.5,0.8,Car
87,303,0.0,396.3,22.9,561.9,0.8,Car
88,304,0.0,398.5,21.8,556.5,0.7,Car
89,350,0.2,91.1,24.9,227.1,0.4,Car
90,351,0.2,100.5,25.5,223.5,0.7,Car
91,352,0.0,78.8,26.3,232.2,0.5,Car
92,353,0.0,78.2,28.7,233.6,0.5,Car
93,354,0.0,70.6,31.6,239.5,0.4,Car
94,356,0.3,73.4,35.6,236.9,0.6,Car
95,357,0.3,68.4,38.1,239.6,0.4,Car
96,360,0.1,53.6,39.4,237.3,0.6,Car
97,361,0.0,45.3,39.5,232.5,0.4,Car
98,362,1.6,32.8,41.8,214.9,0.4,Car
99,362,0.5,33.6,43.1,211.7,0.3,Bus
100,366,0.6,23.3,52.2,196.7,0.3,Bus
101,366,2.2,22.8,53.4,199.8,0.3,Car
102,367,0.8,16.6,75.8,209.9,0.5,Car
103,367,0.8,16.0,71.7,209.1,0.3,Bus
104,368,1.0,12.3,80.0,194.4,0.7,Car
105,368,0.0,11.8,79.1,195.2,0.3,Bus
106,369,1.2,8.7,80.3,221.5,0.9,Car
107,369,0.0,7.3,82.4,233.2,0.3,Bus
108,370,1.1,6.1,78.2,219.0,0.9,Car
109,370,0.0,4.4,81.0,231.2,0.3,Bus
110,371,1.1,1.4,77.1,215.5,0.9,Car
111,372,1.0,0.0,75.9,214.0,0.8,Car
112,373,0.8,0.0,76.9,207.0,0.9,Car
113,374,1.1,0.0,77.2,205.7,0.9,Car
114,375,1.1,0.0,79.9,199.7,1.0,Car
115,376,1.6,0.0,81.8,194.4,1.0,Car
116,377,1.6,0.0,82.1,192.6,1.0,Car
117,378,1.0,0.0,83.8,186.1,1.0,Car
118,379,1.0,0.7,87.4,182.0,0.9,Car
119,380,0.8,0.6,87.9,176.9,0.9,Car
120,381,0.7,0.1,93.3,173.5,0.9,Car
121,382,0.9,0.0,91.3,172.1,0.9,Car
122,383,1.0,0.0,90.1,169.7,0.9,Car
123,384,0.8,0.0,92.3,163.3,0.9,Car
124,385,1.0,0.3,87.6,156.1,0.9,Car
125,386,0.9,0.5,92.8,149.8,0.9,Car
126,387,1.3,0.0,95.6,148.3,0.9,Car
127,388,1.5,0.2,95.8,142.4,0.9,Car
128,389,0.3,0.3,98.4,134.2,0.9,Car
129,390,0.5,0.6,98.4,126.8,0.8,Car
130,391,1.6,0.0,98.5,123.3,0.5,Car
131,392,0.9,0.3,99.9,116.0,0.7,Car
132,393,0.8,0.5,100.7,109.4,0.9,Car
133,394,0.7,1.0,100.8,106.6,0.9,Car
134,395,0.6,0.7,101.3,103.6,0.8,Car
135,396,1.0,1.0,102.9,107.7,0.7,Car
136,402,2.3,0.0,102.8,69.6,0.3,Bus
137,406,0.7,0.1,101.6,110.3,0.7,Car
138,532,549.8,0.0,711.2,62.9,0.4,Car
139,533,548.2,0.0,715.5,66.1,0.5,Car
140,534,546.7,0.0,719.9,69.6,0.5,Car
141,534,544.1,1.0,718.7,69.7,0.3,Bus
142,535,545.2,0.0,723.6,73.4,0.8,Car
143,536,543.6,0.2,728.8,81.1,0.9,Car
144,537,543.4,0.0,733.4,85.3,0.9,Car
145,538,544.1,0.0,737.3,88.8,0.9,Car
146,539,542.6,0.6,743.0,93.7,0.9,Car
147,540,542.4,0.0,748.2,99.5,1.0,Car
148,541,542.4,0.0,752.7,104.7,1.0,Car
149,542,541.3,0.1,758.4,110.6,1.0,Car
150,543,539.9,0.1,762.5,116.4,1.0,Car
151,543,104.5,0.0,684.5,720.0,0.3,Bus
